label#,Nstg,Comp 1,Comp 2,Comp 3,Comp 4,Comp 5,Comp 6,Comp 7,Comp 8
A.397,1,-0.17835,1.0692,-1.3543,1.7818,-0.29795,-0.15531,3.7953,-0.64027
A.116,1,4.2439,-2.4096,0.79491,-1.699,0.7595,-2.4185,-2.0535,0.15243
A.101,1,-2.6155,2.875,-1.8378,-4.2835,2.7473,3.5663,2.5417,-0.41859
A.308,1,-0.73558,1.3866,3.8914,1.1385,0.50147,-3.3356,-0.29975,-1.575
A.60,1,-2.0564,-0.90333,-0.8699,0.39416,-1.3003,3.8824,-2.0278,0.2557
A.65,1,5.335,0.18296,-1.022,-1.2385,0.98807,0.93458,0.52778,2.5562
A.232,1,-1.725,0.73799,2.7376,-0.55027,-0.37297,-2.0444,-0.30235,0.61056
A.150,1,1.9104,-3.3177,4.2367,0.053281,-0.1374,0.98976,-1.9245,-1.5021
A.142,1,-2.5092,0.35112,5.0561,2.9611,1.7839,1.5286,2.9328,-1.909
A.359,1,4.8291,-0.51533,-2.3748,0.75133,-1.1519,-1.8381,0.033219,-1.4626
A.233,1,1.6076,9.4754,-0.098172,-4.6286,-2.5011,-1.603,-1.3851,-2.0392
A.184,1,5.7788,2.2443,2.9952,0.13159,0.56304,-3.4597,-0.92364,1.0233
A.205,1,1.4134,-4.7222,2.3119,-0.61022,-0.09179,2.3,0.49335,-0.28609
A.13,1,-2.5341,0.46133,1.0729,-2.33,-0.87291,-3.3208,-0.47168,2.0356
A.177,1,-2.0815,0.21426,2.5471,-2.0266,-0.22906,-1.467,0.46054,0.60836
A.301,1,-1.1013,2.901,0.46714,0.40542,-1.0622,4.8325,-0.74556,1.6379
A.262,1,4.5471,-1.6434,-2.905,-3.7898,-1.271,-0.51506,0.97785,3.2387
A.263,1,4.431,1.5872,0.9863,0.28629,1.1118,-1.9013,0.57738,0.94735
A.343,1,-1.1166,2.5454,-2.7406,-5.3929,0.15041,2.2439,2.3548,0.39763
A.290,1,1.2473,4.3594,-4.2762,4.4204,-6.6461,0.53447,1.211,0.31631
A.99,1,0.47787,3.3027,0.67572,1.263,-1.5307,1.0812,5.1881,4.2212
A.358,1,-0.12872,-1.7309,-1.4485,2.5552,-0.82067,1.2197,-1.006,-3.0776
A.20,1,3.5492,-1.8169,-2.3739,-1.2871,2.9777,1.74,2.0157,2.1772
A.256,1,-1.1444,3.1015,-1.3279,2.6543,2.3905,-2.5543,-1.5201,1.9319
A.227,1,-2.673,0.25344,3.8577,-1.8656,-2.7933,-0.4795,1.6569,-0.5182
A.367,1,-2.5781,0.41482,-1.4184,-0.54567,-3.1451,4.075,-0.43224,3.4403
A.377,1,-2.1599,1.4346,-1.2823,0.79,0.82058,-1.0405,0.95408,3.8419
A.284,1,3.5935,0.84506,4.384,1.7811,-2.1561,-0.39215,-0.73583,-0.49483
A.302,1,-0.22154,-1.4523,-1.5779,6.7853,-0.60785,2.4906,0.63061,-0.90465
A.402,1,0.56442,1.7606,1.8045,2.0972,0.83977,1.8763,-4.2358,0.29481
A.162,1,4.0852,-1.7062,-2,-2.4432,2.2367,2.176,1.3486,3.0275
A.235,1,0.24035,3.695,2.0754,1.1009,-2.1794,2.1046,-4.2062,-0.66954
A.37,1,-1.4952,3.7488,-1.1711,2.5177,2.3989,-2.1302,-1.6741,1.2624
A.167,1,-2.8618,3.3198,-2.6628,-4.7259,0.98032,1.1131,-0.011072,-3.24
A.76,1,0.62052,-4.1716,2.7999,-1.8238,-0.52223,1.8023,-0.33458,0.61791
A.261,1,-0.41779,-0.83679,2.2448,2.855,2.0295,2.005,-6.0459,-0.12186
A.215,1,3.0749,-1.8817,5.804,0.40282,0.60127,1.3306,-3.4079,-1.927
A.201,1,-1.1002,4.6817,-2.2133,1.2642,1.1828,-2.1935,1.4423,4.3167
A.32,1,2.1014,-1.6073,3.1317,1.2483,-2.0868,-0.30919,-0.062895,0.2363
A.267,1,-1.582,2.1037,-2.5504,0.35424,1.4544,-4.0757,-3.1881,0.54663
A.126,1,-0.89556,1.0493,-1.1042,2.0282,-1.8118,3.4062,-0.29478,1.1633
A.307,1,0.56718,2.6681,3.4183,4.309,-0.59379,0.44334,5.0159,-1.8172
A.328,1,3.8338,-2.8341,5.142,-1.1692,-0.032994,1.3972,-1.0662,-0.38459
A.79,1,0.30993,6.2946,0.051499,-3.1037,2.6299,3.6168,1.3505,-1.6277
A.202,1,-2.1823,2.8638,-1.0884,4.1527,-2.2513,3.71,0.064001,1.2415
A.405,1,4.1535,-1.6326,-4.0716,2.1371,3.1892,2.2157,2.0742,0.043992
A.158,1,-2.1871,2.3222,-3.8166,2.708,-1.3097,-4.1148,-0.21452,2.8706
A.61,1,5.2586,0.6525,-0.11077,-0.63095,1.4536,1.0291,-0.64368,2.0238
A.6,1,-3.1712,-2.7409,-0.37844,1.5489,-0.64113,1.4896,-3.709,2.3492
A.247,1,-0.17626,3.6819,0.63477,2.0849,-1.6698,3.0398,-2.5135,1.1264
A.270,1,2.4662,-1.8528,-0.41651,0.21875,1.679,-0.61221,1.9272,2.8879
A.297,1,-3.5504,-0.77656,2.5639,2.6637,4.0357,-1.5558,3.7782,-1.0406
A.403,1,4.2577,-1.2816,-5.3473,0.074256,1.796,1.4574,1.0627,-1.6014
A.161,1,-1.867,-0.75704,4.4896,-2.0028,-2.055,-0.65743,1.4495,-1.087
A.25,1,0.29201,5.058,-0.60196,-5.1534,1.138,1.6273,-1.5186,-2.3578
A.74,1,4.3919,0.15599,1.1288,-0.59262,0.075015,-0.3829,2.0618,4.6731
A.229,1,-0.55632,-0.46237,0.72024,2.7685,-0.015141,0.60425,-4.1525,1.7124
A.179,1,-0.78235,3.3792,0.14313,2.5599,2.7071,-1.7785,-2.7827,1.7954
A.294,1,-0.010969,-5.3044,1.7832,-2.2243,-1.4133,1.2636,-1.2276,0.72076
A.38,1,-1.5452,2.0368,0.78605,0.4546,-1.4446,3.5409,-1.6965,2.9426
A.58,1,1.0201,5.5166,-1.3867,-4.0229,0.83422,2.5949,0.66717,-1.7171
A.54,1,-3.1704,0.36549,5.6047,-0.88718,-1.4449,-0.80246,2.6959,0.62023
